,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status,"key_stats_acc_perf_NO_NA_enhanced.csv"")Held by Institutions"
0,2004-01-30 19:01:02,1075518062.0,a,24.73,-40.32,1131.13,3.8,-44.12,0.407,N/A,2.80,6.01,29.56,11.97,24.95,47.81,12.803,17450000000.0,16520000000.0,25.83,3.84,2.73,N/A,2.73,2290000000.0,N/A,1790000000.0,3.774,N/A,0.80,1610000000.0,3.37,1150000000.0,2.04,5.93,144000000.0,2.474,10.01,,9300000.0,3.923,2.17,6930000.0,0.0,63.03
1,2004-04-13 04:07:11,1081854431.0,a,20.8,-32.88,1129.44,3.93,-36.81,0.375,N/A,2.43,4.98,25.56,6.20,23.59,46.82,13.16,15320000000.0,14770000000.0,20.83,2.89,2.35,N/A,2.35,2290000000.0,N/A,1610000000.0,3.391,N/A,0.80,1680000000.0,3.49,1150000000.0,2.284,6.394,144000000.0,2.496,10.00,,7520000.0,2.328,1.74,9170000.0,0.0,66.79
2,2004-12-13 21:37:34,1103002654.0,a,15.99,50.97,1198.68,5.74,45.23,0.323,33.58,1.61,3.24,4.86,5.38,5.26,10.92,14.61,11610000000.0,10370000000.0,15.79,1.62,1.44,15.3,1.44,2290000000.0,15.3,349000000.0,0.71,N/A,0.80,2320000000.0,4.75,1150000000.0,2.441,7.32,483000000.0,2.547,20.00,,6930000.0,2.638,1.78,6540000.0,1.0,66.68
3,2005-01-22 05:17:19,1106399839.0,a,14.8,58.65,1184.63,8.48,50.17,0.322,30.70,1.52,3.04,4.86,5.38,5.26,10.92,14.61,10710000000.0,9760000000.0,14.34,1.51,1.36,14.4,1.36,3120000000.0,14.4,349000000.0,0.71,N/A,18.60,2320000000.0,4.71,1150000000.0,2.446,7.329,663000000.0,2.166,10.12,,7040000.0,2.385,1.60,6930000.0,1.0,67.08
4,2006-01-09 02:35:16,1136802916.0,a,23.18,2.67,1290.15,9.45,-6.779999999999999,2.169,52.82,3.31,4.26,6.38,3.58,1.68,3.69,10.403,17120000000.000002,14870000000.0,N/A,1.81,2.89,35.665,2.89,3120000000.0,35.665,141000000.0,0.66,64.90,22.80,2250000000.0,4.555,2.169,2.169,8.095,890000000.0,N/A,0.57,,10980000.0,2.3,2.20,5840000.0,0.0,70.40
5,2006-06-21 11:01:16,1150912876.0,a,21.91,25.01,1252.2,21.56,3.450000000000003,0.368,5.08,2.53,3.37,56.50,9.38,12.15,28.88,11.414,13700000000.0,12620000000.0,N/A,1.26,2.33,7.549,2.33,2520000000.0,7.549,1150000000.0,6.33,21.10,12.00,2660000000.0,6.24,1500000000.0,2.565,9.563,725000000.0,2.75,5.99,,6920000.0,3.4,1.60,4620000.0,0.0,74.80
6,2006-08-19 10:42:01,1156009321.0,a,21.47,6.85,1295.43,8.94,-2.09,0.396,4.63,2.54,3.38,56.57,8.99,4.54,34.26,12.408,13540000000.0,12260000000.0,N/A,1.21,2.18,17.215,2.18,2520000000.0,17.215,1330000000.0,6.87,118.30,13.90,2250000000.0,5.499,1500000000.0,2.513,9.563,652000000.0,2.76,6.24,,7350000.0,2.5,1.80,9340000.0,0.0,72.70
7,2007-02-20 17:46:56,1172022416.0,a,22.74,-2.95,1459.68,-6.83,3.88,0.411,4.33,2.68,3.67,66.50,11.12,13.70,37.19,11.538,13220000000.0,12580000000.0,N/A,1.13,2.53,7.322,2.53,2660000000.0,7.322,1440000000.0,7.499,496.00,21.00,2260000000.0,5.556,1500000000.0,2.573,8.941,634000000.0,2.75,8.76,,5910000.0,2.8,1.50,5150000.0,0.0,67.60
8,2007-04-12 05:07:51,1176379671.0,a,24.4,-13.57,1447.8,-7.94,-5.63,0.411,4.62,2.77,3.87,66.50,11.12,13.70,37.19,11.538,13970000000.0,12500000000.0,N/A,1.13,2.51,7.275,2.51,2660000000.0,7.275,1440000000.0,7.50,496.00,21.00,2260000000.0,5.556,1500000000.0,2.573,9.03,634000000.0,2.75,6.26,,5910000.0,2.8,1.50,5150000.0,0.0,72.00
9,2008-01-23 19:28:50,1201145330.0,a,23.4,-43.46,1338.6,-38.18,-5.280000000000001,0.645,20.47,2.25,3.76,11.77,11.38,5.17,18.54,13.756,11950000000.0,12460000000.0,N/A,1.04,2.30,15.421,2.30,2970000000.0,15.421,638000000.0,1.57,20.80,8.90,1830000000.0,4.916,2089999999.9999998,2.207,8.741,969000000.0,1.55,1.49,,3640000.0,1.9,1.00,3510000.0,0.0,73.80
